,Batsmen,Country,Runs,OUT,Mins,Balls,4's,6's,SR,inn,opp,ground,date,Year,100's,50's,30's,Stadium,cont
727,J Charles,West Indies,43,1,26,25,5,2,172,1,India,Lauderhill,28-Aug-16,2016,0,0,1,United States of America,North America
728,AJ Finch,Australia,43,1,49,34,2,2,126.47,1,Sri Lanka,Melbourne,17-Feb-17,2017,0,0,1,Australia,Australia
729,M Klinger,Australia,43,1,60,37,2,1,116.21,1,Sri Lanka,Geelong,19-Feb-17,2017,0,0,1,Australia,Australia
730,AD Hales,England,43,1,39,17,8,1,252.94,2,West Indies,Chester-le-Street,16-Sep-17,2017,0,0,1,England,Europe
731,SK Raina,INDIA,43,1,33,27,5,1,159.25,1,South Africa,Cape Town,24-Feb-18,2018,0,0,1,South Africa,Africa
732,MN Samuels,West Indies,43,1,-,22,2,4,195.45,1,ICC World XI,Lord's,31-May-18,2018,0,0,1,India,Asia
733,V Kohli,INDIA,43,1,-,29,2,2,148.27,2,England,Bristol,8-Jul-18,2018,0,0,1,England,Europe
734,ADS Fletcher,West Indies,43,1,-,38,3,2,113.15,2,Bangladesh,Lauderhill,4-Aug-18,2018,0,0,1,United States of America,North America
735,R Powell,West Indies,43,1,-,34,3,2,126.47,2,Bangladesh,Lauderhill,4-Aug-18,2018,0,0,1,United States of America,North America
736,S Dhawan,INDIA,43,1,67,41,3,0,104.87,1,West Indies,Lucknow,6-Nov-18,2018,0,0,1,India,Asia
737,TL Seifert,New Zealand,43,1,38,25,3,3,172,1,India,Hamilton,10-Feb-19,2019,0,0,1,New Zealand,Australia
738,V Shankar,INDIA,43,1,35,28,5,2,153.57,2,New Zealand,Hamilton,10-Feb-19,2019,0,0,1,New Zealand,Australia
739,T Bavuma,South Africa,43,1,54,27,5,0,159.25,1,England,East London,12-Feb-20,2020,0,0,1,South Africa,Africa
740,BA King,West Indies,43,1,-,21,6,2,204.76,2,Sri Lanka,Pallekele,6-Mar-20,2020,0,0,1,Sri Lanka,Asia
741,KP Pietersen,England,42,0,43,41,5,0,102.43,2,New Zealand,Manchester,13-Jun-08,2008,0,0,1,England,Europe
742,KP Pietersen,England,42,0,33,26,3,2,161.53,2,Sri Lanka,Gros Islet,13-May-10,2010,0,0,1,West Indies,North America
743,DJG Sammy,West Indies,42,0,28,20,5,2,210,1,Pakistan,Dhaka,1-Apr-14,2014,0,0,1,Bangladesh,Asia
744,MN Samuels,West Indies,42,0,74,59,3,0,71.18,1,Pakistan,Abu Dhabi,27-Sep-16,2016,0,0,1,United Arab Emirates,Asia
745,MK Pandey,INDIA,42,0,-,31,3,1,135.48,2,Sri Lanka,Colombo (RPS),12-Mar-18,2018,0,0,1,Sri Lanka,Asia
746,D Ramdin,West Indies,42,0,-,18,4,3,233.33,1,Pakistan,Karachi,3-Apr-18,2018,0,0,1,Pakistan,Asia
747,LRPL Taylor,New Zealand,42,0,-,26,3,0,161.53,2,Pakistan,Abu Dhabi,31-Oct-18,2018,0,0,1,United Arab Emirates,Asia
748,L Vincent,New Zealand,42,1,57,37,5,1,113.51,2,West Indies,Auckland,16-Feb-06,2006,0,0,1,New Zealand,Australia
749,MN Samuels,West Indies,42,1,23,20,3,3,210,1,England,The Oval,29-Jun-07,2007,0,0,1,England,Europe
750,SB Styris,New Zealand,42,1,33,31,1,4,135.48,1,England,Durban,18-Sep-07,2007,0,0,1,South Africa,Africa
751,SB Styris,New Zealand,42,1,19,25,1,3,168,1,Ireland,Nottingham,11-Jun-09,2009,0,0,1,England,Europe
752,JD Ryder,New Zealand,42,1,36,27,3,2,155.55,2,Sri Lanka,Providence,30-Apr-10,2010,0,0,1,United States of America,North America
753,BJ Haddin,Australia,42,1,46,46,5,0,91.3,2,West Indies,Gros Islet,11-May-10,2010,0,0,1,West Indies,North America
754,DM Bravo,West Indies,42,1,42,33,4,2,127.27,1,Pakistan,Gros Islet,21-Apr-11,2011,0,0,1,West Indies,North America
755,DJ Hussey,Australia,42,1,42,30,1,3,140,1,India,Sydney,1-Feb-12,2012,0,0,1,Australia,Australia
756,GJ Bailey,Australia,42,1,46,27,4,2,155.55,2,Pakistan,Dubai (DSC),7-Sep-12,2012,0,0,1,United Arab Emirates,Asia
757,AD Hales,England,42,1,74,33,4,1,127.27,2,India,Mumbai,22-Dec-12,2012,0,0,1,India,Asia
758,AM Rahane,INDIA,42,1,43,31,5,1,135.48,1,Pakistan,Bengaluru,25-Dec-12,2012,0,0,1,India,Asia
759,LJ Wright,England,42,1,16,20,3,4,210,1,New Zealand,Auckland,9-Feb-13,2013,0,0,1,New Zealand,Australia
760,RS Bopara,England,42,1,35,24,5,1,175,2,West Indies,Bridgetown,9-Mar-14,2014,0,0,1,West Indies,North America
761,KS Williamson,New Zealand,42,1,69,43,6,0,97.67,2,Sri Lanka,Chattogram,31-Mar-14,2014,0,0,1,Bangladesh,Asia
762,RR Hendricks,South Africa,42,1,49,32,5,1,131.25,1,West Indies,Durban,14-Jan-15,2015,0,0,1,South Africa,Africa
763,RV Uthappa,INDIA,42,1,-,25,9,0,168,2,Zimbabwe,Harare,19-Jul-15,2015,0,0,1,Zimbabwe,Africa
764,MJ Guptill,New Zealand,42,1,54,37,5,0,113.51,1,South Africa,Durban,14-Aug-15,2015,0,0,1,South Africa,Africa
765,KS Williamson,New Zealand,42,1,34,21,8,0,200,1,South Africa,Durban,14-Aug-15,2015,0,0,1,South Africa,Africa
766,MJ Guptill,New Zealand,42,1,25,19,6,2,221.05,1,Pakistan,Wellington,22-Jan-16,2016,0,0,1,New Zealand,Australia
767,S Dhawan,INDIA,42,1,46,32,3,2,131.25,1,Australia,Melbourne,29-Jan-16,2016,0,0,1,Australia,Australia
768,SR Watson,Australia,42,1,36,27,2,3,155.55,2,South Africa,Cape Town,9-Mar-16,2016,0,0,1,South Africa,Africa
769,KS Williamson,New Zealand,42,1,43,32,5,1,131.25,1,Bangladesh,Kolkata,26-Mar-16,2016,0,0,1,India,Asia
770,JJ Roy,England,42,1,49,39,3,2,107.69,1,Sri Lanka,Delhi,26-Mar-16,2016,0,0,1,India,Asia
771,JE Root,England,42,1,60,37,4,2,113.51,2,India,Bengaluru,1-Feb-17,2017,0,0,1,India,Asia
772,AJ Finch,Australia,42,1,40,30,4,1,140,1,India,Ranchi,7-Oct-17,2017,0,0,1,India,Asia
773,LRPL Taylor,New Zealand,42,1,59,36,3,0,116.66,1,India,Auckland,8-Feb-19,2019,0,0,1,New Zealand,Australia
774,JDS Neesham,New Zealand,42,1,33,22,2,4,190.9,1,England,Wellington,3-Nov-19,2019,0,0,1,New Zealand,Australia
775,AJ Finch,Australia,42,1,38,27,6,1,155.55,1,South Africa,Johannesburg,21-Feb-20,2020,0,0,1,South Africa,Africa
776,DJ Malan,England,42,1,-,32,7,0,131.25,2,Australia,Southampton,6-Sep-20,2020,0,0,1,England,Europe
777,SR Watson,Australia,41,0,43,24,2,3,170.83,2,West Indies,Colombo (RPS),22-Sep-12,2012,0,0,1,Sri Lanka,Asia
778,Q de Kock,South Africa,41,0,37,20,2,4,205,1,Australia,Durban,12-Mar-14,2014,0,0,1,South Africa,Africa
779,JP Faulkner,Australia,41,0,44,33,1,1,124.24,1,South Africa,Adelaide,5-Nov-14,2014,0,0,1,Australia,Australia
780,CL White,Australia,41,0,-,31,4,1,132.25,2,South Africa,Sydney,9-Nov-14,2014,0,0,1,Australia,Australia
781,V Kohli,INDIA,41,0,62,28,5,0,146.42,2,Bangladesh,Dhaka,6-Mar-16,2016,0,0,1,Bangladesh,Asia
782,MM Ali,England,41,0,50,33,4,1,124.24,1,Afghanistan,Delhi,23-Mar-16,2016,0,0,1,India,Asia
783,C de Grandhomme,New Zealand,41,0,35,22,3,3,186.36,2,Bangladesh,Napier,3-Jan-17,2017,0,0,1,New Zealand,Australia
784,ME Trescothick,England,41,1,55,37,5,0,110.81,1,Australia,Southampton,13-Jun-05,2005,0,0,1,England,Europe
785,GB Hogg,Australia,41,1,35,25,2,3,164,2,South Africa,Johannesburg,24-Feb-06,2006,0,0,1,South Africa,Africa
786,S Chanderpaul,West Indies,41,1,34,26,6,0,157.69,1,England,The Oval,28-Jun-07,2007,0,0,1,England,Europe
787,GC Smith,South Africa,41,1,53,34,6,0,120.58,2,Bangladesh,Cape Town,15-Sep-07,2007,0,0,1,South Africa,Africa
788,JA Morkel,South Africa,41,1,28,29,3,2,141.37,2,Bangladesh,Cape Town,15-Sep-07,2007,0,0,1,South Africa,Africa
789,DJ Hussey,Australia,41,1,51,39,1,1,105.12,1,New Zealand,Sydney,15-Feb-09,2009,0,0,1,Australia,Australia
790,MJ Guptill,New Zealand,41,1,26,28,4,3,146.42,2,India,Christchurch,25-Feb-09,2009,0,0,1,New Zealand,Australia
791,Yuvraj Singh,INDIA,41,1,12,18,3,4,227.77,1,Bangladesh,Nottingham,6-Jun-09,2009,0,0,1,England,Europe
792,GC Smith,South Africa,41,1,38,23,3,4,178.26,2,England,Johannesburg,13-Nov-09,2009,0,0,1,South Africa,Africa
793,C Kieswetter,England,41,1,54,42,3,2,97.61,1,South Africa,Bridgetown,8-May-10,2010,0,0,1,West Indies,North America
794,G Gambhir,INDIA,41,1,52,32,3,0,128.12,1,Sri Lanka,Gros Islet,11-May-10,2010,0,0,1,West Indies,North America
795,DA Warner,Australia,41,1,50,31,6,0,132.25,2,Pakistan,Birmingham,5-Jul-10,2010,0,0,1,England,Europe
796,JP Duminy,South Africa,41,1,54,46,5,0,89.13,2,Pakistan,Abu Dhabi,26-Oct-10,2010,0,0,1,United Arab Emirates,Asia
797,SK Raina,INDIA,41,1,29,23,2,3,178.26,1,South Africa,Durban,9-Jan-11,2011,0,0,1,South Africa,Africa
798,DM Bravo,West Indies,41,1,47,41,5,0,100,2,India,Port of Spain,4-Jun-11,2011,0,0,1,West Indies,North America
799,KP Pietersen,England,41,1,49,27,3,2,151.85,1,Sri Lanka,Bristol,25-Jun-11,2011,0,0,1,England,Europe
800,JP Duminy,South Africa,41,1,50,37,3,0,110.81,1,New Zealand,Wellington,17-Feb-12,2012,0,0,1,New Zealand,Australia
801,DM Bravo,West Indies,41,1,36,28,5,2,146.42,1,Bangladesh,Dhaka,10-Dec-12,2012,0,0,1,Bangladesh,Asia
802,LMP Simmons,West Indies,41,1,52,39,1,2,105.12,1,Zimbabwe,North Sound,3-Mar-13,2013,0,0,1,West Indies,North America
803,CL White,Australia,41,1,65,37,4,1,110.81,1,England,Sydney,2-Feb-14,2014,0,0,1,Australia,Australia
804,Q de Kock,South Africa,41,1,62,40,2,2,102.5,1,Australia,Centurion,14-Mar-14,2014,0,0,1,South Africa,Africa
805,HM Amla,South Africa,41,1,56,40,2,0,102.5,1,New Zealand,Chattogram,24-Mar-14,2014,0,0,1,Bangladesh,Asia
806,MN Samuels,West Indies,41,1,47,32,5,1,128.12,2,South Africa,Cape Town,9-Jan-15,2015,0,0,1,South Africa,Africa
807,JM Vince,England,41,1,47,36,6,1,113.88,1,Pakistan,Dubai (DSC),26-Nov-15,2015,0,0,1,United Arab Emirates,Asia
808,SK Raina,INDIA,41,1,63,34,3,1,120.58,1,Australia,Adelaide,26-Jan-16,2016,0,0,1,Australia,Australia
809,F du Plessis,South Africa,41,1,30,27,7,1,151.85,1,Afghanistan,Mumbai,20-Mar-16,2016,0,0,1,India,Asia
810,RR Hendricks,South Africa,41,1,54,34,4,0,120.58,1,Sri Lanka,Cape Town,25-Jan-17,2017,0,0,1,South Africa,Africa
811,S Dhawan,INDIA,41,1,-,22,6,2,186.36,2,Australia,Sydney,25-Nov-18,2018,0,0,1,Australia,Australia
812,HE van der Dussen,South Africa,41,1,53,35,2,2,117.14,2,Pakistan,Centurion,6-Feb-19,2019,0,0,1,South Africa,Africa
813,DA Miller,South Africa,41,1,37,23,5,1,178.26,2,Sri Lanka,Cape Town,19-Mar-19,2019,0,0,1,South Africa,Africa
814,MJ Guptill,New Zealand,41,1,44,28,3,2,146.42,1,England,Wellington,3-Nov-19,2019,0,0,1,New Zealand,Australia
815,S Dhawan,INDIA,41,1,-,42,3,1,97.61,1,Bangladesh,Delhi,3-Nov-19,2019,0,0,1,India,Asia
816,SO Hetmyer,West Indies,41,1,-,24,1,5,170.83,2,India,Mumbai,11-Dec-19,2019,0,0,1,India,Asia
817,NJ Astle,New Zealand,40,0,42,37,4,1,108.1,2,Sri Lanka,Auckland,26-Dec-06,2006,0,0,1,New Zealand,Australia
818,CL White,Australia,40,0,21,20,1,4,200,1,England,Sydney,9-Jan-07,2007,0,0,1,Australia,Australia
819,CL White,Australia,40,0,30,18,5,1,222.22,2,South Africa,Brisbane,13-Jan-09,2009,0,0,1,Australia,Australia
820,DJ Hussey,Australia,40,0,54,31,1,2,129.03,1,Pakistan,Melbourne,5-Feb-10,2010,0,0,1,Australia,Australia
821,MJ Guptill,New Zealand,40,0,54,36,2,2,111.11,2,Zimbabwe,Harare,15-Oct-11,2011,0,0,1,Zimbabwe,Africa
822,GJ Maxwell,Australia,40,0,37,24,5,1,166.66,2,New Zealand,Sydney,3-Feb-18,2018,0,0,1,Australia,Australia
823,RR Pant,INDIA,40,0,48,28,4,1,142.85,2,New Zealand,Auckland,8-Feb-19,2019,0,0,1,New Zealand,Australia
824,AD Russell,West Indies,40,0,-,14,0,6,285.71,2,Sri Lanka,Pallekele,6-Mar-20,2020,0,0,1,Sri Lanka,Asia
825,V Sehwag,INDIA,40,1,24,17,6,2,235.29,2,New Zealand,Johannesburg,16-Sep-07,2007,0,0,1,South Africa,Africa
826,P Mustard,England,40,1,39,24,3,3,166.66,1,New Zealand,Christchurch,7-Feb-08,2008,0,0,1,New Zealand,Australia
827,RS Morton,West Indies,40,1,54,41,3,0,97.56,2,Australia,Hobart,21-Feb-10,2010,0,0,1,Australia,Australia
828,JA Morkel,South Africa,40,1,23,18,0,5,222.22,1,New Zealand,Bridgetown,6-May-10,2010,0,0,1,West Indies,North America
829,EJG Morgan,England,40,1,41,34,4,1,117.64,2,New Zealand,Gros Islet,10-May-10,2010,0,0,1,West Indies,North America
830,DJ Bravo,West Indies,40,1,65,42,1,2,95.23,2,South Africa,North Sound,20-May-10,2010,0,0,1,West Indies,North America
831,JEC Franklin,New Zealand,40,1,52,43,2,1,93.02,1,Pakistan,Hamilton,28-Dec-10,2010,0,0,1,New Zealand,Australia
832,V Kohli,INDIA,40,1,33,32,6,0,125,1,England,Colombo (RPS),23-Sep-12,2012,0,0,1,Sri Lanka,Asia
833,DJ Bravo,West Indies,40,1,36,34,4,2,117.64,1,Sri Lanka,Pallekele,29-Sep-12,2012,0,0,1,Sri Lanka,Asia
834,HD Rutherford,New Zealand,40,1,31,27,1,3,148.14,1,England,Hamilton,12-Feb-13,2013,0,0,1,New Zealand,Australia
835,ADS Fletcher,West Indies,40,1,57,36,3,1,111.11,1,New Zealand,Wellington,15-Jan-14,2014,0,0,1,New Zealand,Australia
836,AD Hales,England,40,1,59,36,1,2,111.11,1,West Indies,Bridgetown,11-Mar-14,2014,0,0,1,West Indies,North America
837,DA Warner,Australia,40,1,22,16,5,2,250,2,South Africa,Durban,12-Mar-14,2014,0,0,1,South Africa,Africa
838,BB McCullum,New Zealand,40,1,52,35,3,1,114.28,2,West Indies,Roseau,5-Jul-14,2014,0,0,1,United States of America,North America
839,AD Hales,England,40,1,39,25,3,3,160,1,India,Birmingham,7-Sep-14,2014,0,0,1,England,Europe
840,AB de Villiers,South Africa,40,1,52,34,6,0,117.64,1,Bangladesh,Dhaka,7-Jul-15,2015,0,0,1,Bangladesh,Asia
841,AJ Finch,Australia,40,1,32,18,2,4,222.22,1,South Africa,Durban,4-Mar-16,2016,0,0,1,South Africa,Africa
842,F du Plessis,South Africa,40,1,44,26,4,1,153.84,2,Australia,Durban,4-Mar-16,2016,0,0,1,South Africa,Africa
843,AM Rahane,INDIA,40,1,68,35,2,0,114.28,1,West Indies,Mumbai,31-Mar-16,2016,0,0,1,India,Asia
844,DA Miller,South Africa,40,1,-,18,3,3,222.22,1,Sri Lanka,Centurion,20-Jan-17,2017,0,0,1,South Africa,Africa
845,EJG Morgan,England,40,1,34,21,2,3,190.47,2,India,Bengaluru,1-Feb-17,2017,0,0,1,India,Asia
846,CAK Walton,West Indies,40,1,-,31,2,4,129.03,1,Pakistan,Port of Spain,2-Apr-17,2017,0,0,1,West Indies,North America
847,CH Gayle,West Indies,40,1,30,21,3,4,190.47,1,England,Chester-le-Street,16-Sep-17,2017,0,0,1,England,Europe
848,CAK Walton,West Indies,40,1,-,29,5,2,137.93,2,Pakistan,Karachi,2-Apr-18,2018,0,0,1,Pakistan,Asia
849,MS Dhoni,INDIA,40,1,39,23,3,3,173.91,1,Australia,Bengaluru,27-Feb-19,2019,0,0,1,India,Asia
850,DJM Short,Australia,40,1,55,28,6,0,142.85,2,India,Bengaluru,27-Feb-19,2019,0,0,1,India,Asia
851,S Dhawan,INDIA,40,1,56,31,4,1,129.03,2,South Africa,Mohali,18-Sep-19,2019,0,0,1,India,Asia
852,E Lewis,West Indies,40,1,-,17,3,4,235.29,1,India,Hyderabad (Deccan),6-Dec-19,2019,0,0,1,India,Asia
853,E Lewis,West Indies,40,1,-,35,3,3,114.28,2,India,Thiruvananthapuram,8-Dec-19,2019,0,0,1,India,Asia
854,JJ Roy,England,40,1,46,29,3,2,137.93,1,South Africa,Durban,14-Feb-20,2020,0,0,1,South Africa,Africa
855,AJ Finch,Australia,40,1,-,33,4,2,121.21,1,England,Southampton,6-Sep-20,2020,0,0,1,England,Europe
856,A Symonds,Australia,39,0,38,22,3,1,177.27,1,England,Sydney,9-Jan-07,2007,0,0,1,Australia,Australia
857,MEK Hussey,Australia,39,0,41,26,4,1,150,1,Sri Lanka,Bridgetown,9-May-10,2010,0,0,1,West Indies,North America
858,LRPL Taylor,New Zealand,39,0,53,31,2,3,125.8,2,Pakistan,Auckland,26-Dec-10,2010,0,0,1,New Zealand,Australia
859,AB de Villiers,South Africa,39,0,47,36,4,0,108.33,2,New Zealand,Hamilton,19-Feb-12,2012,0,0,1,New Zealand,Australia
860,RV Uthappa,INDIA,39,0,57,35,2,0,111.42,1,Zimbabwe,Harare,17-Jul-15,2015,0,0,1,Zimbabwe,Africa
861,MS Dhoni,INDIA,39,0,40,22,4,1,177.27,1,Sri Lanka,Cuttack,20-Dec-17,2017,0,0,1,India,Asia
862,KD Karthik,INDIA,39,0,-,25,5,0,156,2,Sri Lanka,Colombo (RPS),12-Mar-18,2018,0,0,1,Sri Lanka,Asia
863,MR Marsh,Australia,39,0,42,36,2,1,108.33,2,England,Southampton,8-Sep-20,2020,0,0,1,England,Europe
864,SM Katich,Australia,39,1,42,22,6,1,177.27,2,South Africa,Johannesburg,24-Feb-06,2006,0,0,1,South Africa,Africa
865,BB McCullum,New Zealand,39,1,33,22,2,4,177.27,1,Sri Lanka,Wellington,22-Dec-06,2006,0,0,1,New Zealand,Australia
866,KP Pietersen,England,39,1,33,23,3,1,169.56,2,India,Durban,19-Sep-07,2007,0,0,1,South Africa,Africa
867,IJL Trott,England,39,1,65,51,3,0,76.47,1,Pakistan,Dubai (DSC),20-Feb-10,2010,0,0,1,United Arab Emirates,Asia
868,JP Duminy,South Africa,39,1,29,25,2,2,156,2,England,Bridgetown,8-May-10,2010,0,0,1,West Indies,North America
869,C Kieswetter,England,39,1,36,29,5,2,134.48,2,Sri Lanka,Gros Islet,13-May-10,2010,0,0,1,West Indies,North America
870,IR Bell,England,39,1,34,30,3,0,130,2,Australia,Melbourne,14-Jan-11,2011,0,0,1,Australia,Australia
871,CL White,Australia,39,1,49,32,1,3,121.87,2,Sri Lanka,Pallekele,8-Aug-11,2011,0,0,1,Sri Lanka,Asia
872,CL White,Australia,39,1,32,26,4,1,150,1,South Africa,Johannesburg,16-Oct-11,2011,0,0,1,South Africa,Africa
873,SK Raina,INDIA,39,1,47,29,4,2,134.48,1,England,Kolkata,29-Oct-11,2011,0,0,1,India,Asia
874,RS Bopara,England,39,1,42,32,2,1,121.87,2,Pakistan,Dubai (DSC),23-Feb-12,2012,0,0,1,United Arab Emirates,Asia
875,AD Hales,England,39,1,43,29,5,1,134.48,2,New Zealand,The Oval,25-Jun-13,2013,0,0,1,England,Europe
876,LRPL Taylor,New Zealand,39,1,66,41,3,0,95.12,2,West Indies,Wellington,15-Jan-14,2014,0,0,1,New Zealand,Australia
877,AJ Finch,Australia,39,1,34,27,6,0,144.44,2,South Africa,Centurion,14-Mar-14,2014,0,0,1,South Africa,Africa
878,JP Duminy,South Africa,39,1,45,30,3,2,130,2,Sri Lanka,Chattogram,22-Mar-14,2014,0,0,1,Bangladesh,Asia
879,RG Sharma,INDIA,39,1,26,28,7,1,139.28,2,U.A.E.,Dhaka,3-Mar-16,2016,0,0,1,Bangladesh,Asia
880,MJ Guptill,New Zealand,39,1,27,27,2,4,144.44,1,Australia,Dharamsala,18-Mar-16,2016,0,0,1,India,Asia
881,V Kohli,INDIA,39,1,-,22,7,1,177.27,1,West Indies,Kingston,9-Jul-17,2017,0,0,1,West Indies,North America
882,TWM Latham,New Zealand,39,1,54,36,3,1,108.33,2,India,Delhi,1-Nov-17,2017,0,0,1,India,Asia
883,GJ Maxwell,Australia,39,1,33,26,3,2,150,2,England,Melbourne,10-Feb-18,2018,0,0,1,Australia,Australia
884,F Behardien,South Africa,39,1,37,27,3,2,144.44,2,India,Johannesburg,18-Feb-18,2018,0,0,1,South Africa,Africa
885,DA Miller,South Africa,39,1,42,34,1,2,114.7,1,Zimbabwe,East London,9-Oct-18,2018,0,0,1,South Africa,Africa
886,MS Dhoni,INDIA,39,1,47,31,5,1,125.8,2,New Zealand,Wellington,6-Feb-19,2019,0,0,1,New Zealand,Australia
887,DJ Malan,England,39,1,57,29,2,2,134.48,2,New Zealand,Wellington,3-Nov-19,2019,0,0,1,New Zealand,Australia
888,TG Southee,New Zealand,39,1,15,15,2,4,260,2,England,Napier,8-Nov-19,2019,0,0,1,New Zealand,Australia
889,TL Seifert,New Zealand,39,1,-,16,1,5,243.75,1,England,Auckland,10-Nov-19,2019,0,0,1,New Zealand,Australia
890,KL Rahul,INDIA,39,1,49,26,3,2,150,1,New Zealand,Wellington,31-Jan-20,2020,0,0,1,New Zealand,Australia
891,MM Ali,England,39,1,15,11,3,4,354.54,1,South Africa,Durban,14-Feb-20,2020,0,0,1,South Africa,Africa
892,AJ Finch,Australia,39,1,52,26,4,1,150,2,England,Southampton,8-Sep-20,2020,0,0,1,England,Europe
893,EJG Morgan,England,38,0,33,24,6,0,158.33,2,Pakistan,Cardiff,5-Sep-10,2010,0,0,1,England,Europe
894,F du Plessis,South Africa,38,0,45,32,6,0,118.75,2,New Zealand,Durban,21-Dec-12,2012,0,0,1,South Africa,Africa
895,DJ Bravo,West Indies,38,0,42,30,3,1,126.66,2,Zimbabwe,North Sound,2-Mar-13,2013,0,0,1,West Indies,North America
896,C de Grandhomme,New Zealand,38,0,36,24,1,3,158.33,1,Australia,Sydney,3-Feb-18,2018,0,0,1,Australia,Australia
897,N Pooran,West Indies,38,0,-,18,4,2,211.11,2,India,Thiruvananthapuram,8-Dec-19,2019,0,0,1,India,Asia
898,D Mongia,INDIA,38,1,63,45,4,1,84.44,2,South Africa,Johannesburg,1-Dec-06,2006,0,0,1,South Africa,Africa
899,SP Fleming,New Zealand,38,1,29,24,6,0,158.33,1,Sri Lanka,Wellington,22-Dec-06,2006,0,0,1,New Zealand,Australia
900,BB McCullum,New Zealand,38,1,34,26,3,2,146.15,1,South Africa,Durban,19-Sep-07,2007,0,0,1,South Africa,Africa
901,KA Pollard,West Indies,38,1,33,24,4,2,158.33,2,New Zealand,Hamilton,28-Dec-08,2008,0,0,1,New Zealand,Australia
902,RT Ponting,Australia,38,1,39,31,3,1,122.58,2,South Africa,Brisbane,13-Jan-09,2009,0,0,1,Australia,Australia
903,DA Warner,Australia,38,1,37,29,4,1,131.03,1,South Africa,Johannesburg,27-Mar-09,2009,0,0,1,South Africa,Africa
904,GC Smith,South Africa,38,1,44,29,6,1,131.03,1,Scotland,The Oval,7-Jun-09,2009,0,0,1,England,Europe
905,OA Shah,England,38,1,52,33,3,2,115.15,1,South Africa,Nottingham,11-Jun-09,2009,0,0,1,England,Europe
906,DL Vettori,New Zealand,38,1,45,34,1,2,111.76,1,Pakistan,Bridgetown,8-May-10,2010,0,0,1,West Indies,North America
907,GC Smith,South Africa,38,1,61,42,4,0,90.47,2,Pakistan,Abu Dhabi,27-Oct-10,2010,0,0,1,United Arab Emirates,Asia
908,BB McCullum,New Zealand,38,1,38,24,4,1,158.33,2,Zimbabwe,Hamilton,14-Feb-12,2012,0,0,1,New Zealand,Australia
909,JP Duminy,South Africa,38,1,23,20,2,2,190,1,New Zealand,Auckland,22-Feb-12,2012,0,0,1,New Zealand,Australia
910,SK Raina,INDIA,38,1,42,33,6,0,115.15,1,Afghanistan,Colombo (RPS),19-Sep-12,2012,0,0,1,Sri Lanka,Asia
911,MJ Guptill,New Zealand,38,1,34,30,6,0,126.66,1,Sri Lanka,Pallekele,27-Sep-12,2012,0,0,1,Sri Lanka,Asia
912,KA Pollard,West Indies,38,1,22,15,3,3,253.33,1,Australia,Colombo (RPS),5-Oct-12,2012,0,0,1,Sri Lanka,Asia
913,Yuvraj Singh,INDIA,38,1,21,21,2,3,180.95,2,England,Pune,20-Dec-12,2012,0,0,1,India,Asia
914,V Kohli,INDIA,38,1,25,20,7,0,190,1,England,Mumbai,22-Dec-12,2012,0,0,1,India,Asia
915,MS Dhoni,INDIA,38,1,23,18,3,2,211.11,1,England,Mumbai,22-Dec-12,2012,0,0,1,India,Asia
916,JM Bairstow,England,38,1,36,22,3,2,172.72,1,New Zealand,Auckland,9-Feb-13,2013,0,0,1,New Zealand,Australia
917,AD Hales,England,38,1,54,31,4,1,122.58,1,West Indies,Bridgetown,13-Mar-14,2014,0,0,1,West Indies,North America
918,AD Hales,England,38,1,35,22,6,1,172.72,2,South Africa,Chattogram,29-Mar-14,2014,0,0,1,Bangladesh,Asia
919,F du Plessis,South Africa,38,1,25,20,5,2,190,1,West Indies,Cape Town,9-Jan-15,2015,0,0,1,South Africa,Africa
920,RR Rossouw,South Africa,38,1,24,20,4,2,190,2,New Zealand,Durban,14-Aug-15,2015,0,0,1,South Africa,Africa
921,JM Vince,England,38,1,38,24,3,2,158.33,1,Pakistan,Dubai (DSC),27-Nov-15,2015,0,0,1,United Arab Emirates,Asia
922,EJG Morgan,England,38,1,44,23,0,4,165.21,1,South Africa,Johannesburg,21-Feb-16,2016,0,0,1,South Africa,Africa
923,UT Khawaja,Australia,38,1,37,27,6,0,140.74,2,New Zealand,Dharamsala,18-Mar-16,2016,0,0,1,India,Asia
924,JE Root,England,38,1,82,38,2,0,100,2,India,Nagpur,29-Jan-17,2017,0,0,1,India,Asia
925,BA Stokes,England,38,1,30,27,2,2,140.74,2,India,Nagpur,29-Jan-17,2017,0,0,1,India,Asia
926,M Klinger,Australia,38,1,43,32,4,0,118.75,1,Sri Lanka,Melbourne,17-Feb-17,2017,0,0,1,Australia,Australia
927,RR Pant,INDIA,38,1,-,35,2,1,108.57,1,West Indies,Kingston,9-Jul-17,2017,0,0,1,West Indies,North America
928,GJ Maxwell,Australia,38,1,-,23,2,2,165.21,2,South Africa,Carrara,17-Nov-18,2018,0,0,1,Australia,Australia
929,RG Sharma,INDIA,38,1,63,32,3,0,118.75,2,New Zealand,Hamilton,10-Feb-19,2019,0,0,1,New Zealand,Australia
930,V Kohli,INDIA,38,1,31,27,2,1,140.74,1,New Zealand,Hamilton,29-Jan-20,2020,0,0,1,New Zealand,Australia
931,LRPL Taylor,New Zealand,37,0,31,23,2,2,160.86,1,Pakistan,Cape Town,22-Sep-07,2007,0,0,1,South Africa,Africa
